Spanish,Alternate,Translation,Column42,Column5,Column6,Column7,POS,Gender,Column10,Chapter Number,Chapter Name
el papá,,dad (informal),dad (informal),dad,,informal,Noun,m,[sound:spanishdict-6ff91e29-f1191824-234f92c0-dcee5617-3cd5129c.mp3],14,Family
la madre,,mother (formal),mother (formal),mother,,formal,Noun,f,[sound:spanishdict-549cdbf6-2c645e63-4c9d0da7-352b45f8-3b92da83.mp3],14,Family
el hermano,,brother,brother,brother,,,Noun,m,[sound:spanishdict-e96a56de-5cac7cfe-8b3f2779-7a313147-b9513249.mp3],14,Family
la mamá,,mom (informal),mom (informal),mom,,informal,Noun,f,[sound:spanishdict-fddb8fe5-cc1e665a-15946159-14d09834-efb9bdc9.mp3],14,Family
la hermana,,sister,sister,sister,,,Noun,f,[sound:spanishdict-d2ef669a-8ab407ae-49d7125e-c35ec20d-f78d7731.mp3],14,Family
la familia,,family,family,family,,,Noun,f,[sound:spanishdict-e808d748-eb62cab7-78c4b4dc-07c5aa2b-860107b3.mp3],14,Family
el esposo,el marido,husband,husband,husband,,,Noun,m,[sound:spanishdict-bf88db20-abd024c6-bfb9677f-7eea386e-e7546a48.mp3],14,Family
la esposa,,wife,wife,wife,,,Noun,f,[sound:spanishdict-9eb9c801-dd686cee-ad74762e-f92bfff9-aa91b0be.mp3],14,Family
el abuelo,,grandpa,grandpa,grandpa,,,Noun,m,[sound:spanishdict-be7fd020-75d7c00e-0bbba594-9b604990-30fd071f.mp3],14,Family
los padres,,parents,parents,parents,,,Noun,m,[sound:spanishdict-c20823b8-5dc9f5ab-42c1a34e-7f7a38e6-79a49187.mp3],14,Family
por,para,"by, for","by, for","by, for",,,Preposition,,[sound:spanishdict-60caee0e-14692942-a47ee143-3b9dcdf0-80b02cc0.mp3],15,Prepositions
para,para,"for, in order to","for, in order to","for, in order to",,,Preposition,,[sound:spanishdict-44ebff30-799993b5-57df1fac-d0d1e43d-839ba333.mp3],15,Prepositions
a,,<li>to; at</li><li>per; every (time)</li>,<li>to; at</li><li>per; every (time)</li>,<li>to; at</li><li>per; every (time)</li>,,,Preposition,,[sound:spanishdict-5acfa8ec-4bfd3915-19f9836f-45632fbf-17a05316.mp3],15,Prepositions
según,a…,"according to, as","according to, as","according to, as",,,Preposition,,[sound:spanishdict-61688340-660e01a4-2aad79df-7674f19d-6fc14d8b.mp3],15,Prepositions
con,,with,with,with,,,Preposition,,[sound:spanishdict-213bb874-7d044aab-64b4b46d-63a55a10-663f831b.mp3],15,Prepositions
sobre,a…,on; about,on; about,on; about,,,Preposition,,[sound:spanishdict-8fdab6ea-0d8ab4de-e52a0a0c-db26af0f-2021b1af.mp3],15,Prepositions
contra,,against,against,against,,,Preposition,,[sound:spanishdict-b8420294-69b62a0f-c347f9df-f3119898-6c0ffc14.mp3],15,Prepositions
entre,,"between, among","between, among","between, among",,,Preposition,,[sound:spanishdict-a460a5dc-74ce526b-db199258-1d172d18-c128038b.mp3],15,Prepositions
de,,of; from,of; from,of; from,,,Preposition,,[sound:spanishdict-366abff6-890f737a-1a4ddb7a-bf32dbce-d831bdf9.mp3],15,Prepositions
acerca,sobre / de,about,about,about,,,Preposition,,[sound:spanishdict-ba232327-1ed1e4ba-de18cabd-01066054-02e9d055.mp3],15,Prepositions
en,,in; on; at,in; on; at,in; on; at,,,Preposition,,[sound:spanishdict-693314f2-9cddd580-a367ea41-a9cff882-fa459584.mp3],15,Prepositions
durante,,during,during,during,,,Preposition,,[sound:spanishdict-e4a910b1-7c4ff577-21e5e8e7-8937262c-123c2294.mp3],15,Prepositions
sin,,without,without,without,,,Preposition,,[sound:spanishdict-1e77229c-db96e84c-9205057f-2ccf8113-ac116b3e.mp3],15,Prepositions
cerca,,"nearby, close","nearby, close","nearby, close",,,Adverb,,[sound:spanishdict-4dac470b-a80d1bd7-ce4b038b-cc43b0eb-4f323d4c.mp3],15,Prepositions
hacia,,towards,towards,towards,,,Preposition,,[sound:spanishdict-170cdd4e-cdfb334b-497511d4-e81ebd2e-3e7db745.mp3],15,Prepositions
"largo, larga",,long,long,long,,,Adjective,,[sound:spanishdict-6a9edfe7-d60921f7-f13862a8-5182f26c-b1c3e6f3.mp3],16,Sizes
"alto, alta",,"tall, high","tall, high","tall, high",,,Adjective,,[sound:spanishdict-6c4bb24f-b3cba781-a0476716-0bc45ab7-b0156c4f.mp3],16,Sizes
el tamaño,,<li>size<li>such,<li>size<li>such,<li>size<li>such,,,Noun Adjective,,[sound:spanishdict-91285db6-3e970b28-04f75a5a-514455df-a22d532d.mp3],16,Sizes
"pequeño, pequeña",,small,small,small,,,Adjective,,[sound:spanishdict-64530ed3-b22f380e-26d11b29-fae551ef-5a0727b7.mp3],16,Sizes
enorme,,"huge, enormous","huge, enormous","huge, enormous",,,Adjective,,[sound:spanishdict-4cef47d9-a7c3f2e7-6140cf92-11f0e712-abf9a2c5.mp3],16,Sizes
grande,,"big, large, grand, great","big, large, grand, great","big, large, grand, great",,,Adjective,,[sound:spanishdict-e9fdab31-fc97abb6-8c01bfeb-fb3dd6d1-0c7c418e.mp3],16,Sizes
"corto, corta",,"short (length), brief","short (length), brief","short (length), brief",,,Adjective,,[sound:spanishdict-9811eb50-69618bc7-0e3cc962-c11aa18a-921a08a9.mp3],16,Sizes
"bajo, baja",corto,"low, short","low, short","low, short",,,Adjective,,[sound:spanishdict-0a9e3c17-08861062-e32496be-bce48943-51c4a618.mp3],16,Sizes
el refrigerador,,refrigerator,refrigerator,refrigerator,,,Noun,m,[sound:spanishdict-e6b693bd-7e4a6bcb-1d5c0f6c-800cc608-ca8366e5.mp3],17,Household
el vaso,,(drinking) glass,(drinking) glass,(drinking) glass,,,Noun,m,[sound:spanishdict-e06af5b7-2549c202-5caffe26-33f50ca7-31665bc2.mp3],17,Household
la rasuradora,,electric shaver,electric shaver,electric shaver,,,Noun,f,[sound:spanishdict-4b0e3d41-a76a0bcf-6e3681e8-0acb2a89-b0f61435.mp3],17,Household
la lámpara,,lamp,lamp,lamp,,,Noun,f,[sound:spanishdict-9a558e26-94592268-f0df855e-3e0d9ebd-58296fc6.mp3],17,Household
la puerta,,door; gate,door; gate,door; gate,,,Noun,f,[sound:spanishdict-74d3c132-72468e59-6a2cc3eb-dd35b2b7-02652c67.mp3],17,Household
la lavadora,,washing machine,washing machine,washing machine,,,Noun,f,[sound:spanishdict-b31bfede-60409496-8d4cf24b-b7769bfa-2c292a96.mp3],17,Household
los platos,,<li>dishes</li><li>plates</li>,<li>dishes</li><li>plates</li>,<li>dishes</li><li>plates</li>,,,Noun,m,[sound:spanishdict-85e610bc-efec9e69-e414d882-95f3f65f-97ae31ad.mp3],17,Household
limpiar,,to clean,to clean,to clean,,,Verb,,[sound:spanishdict-1b4c2de2-596cdddc-5c749bf6-5c127991-97ba0e64.mp3],17,Household
la piscina,,swimming pool,swimming pool,swimming pool,,,Noun,f,[sound:spanishdict-1e08c478-0c87c827-2044762c-d51203df-2dd17e6f.mp3],17,Household
la mesa,,table,table,table,,,Noun,f,[sound:spanishdict-98380d3a-87218c5f-94492b3d-f235b2c5-c2b518ed.mp3],17,Household
el paraguas,,umbrella,umbrella,umbrella,,,Noun,m,[sound:spanishdict-60bebb03-cbedbfe4-e76f51d3-46fa0c11-b8b9392e.mp3],17,Household
la escalera,,stairs; ladder,stairs; ladder,stairs; ladder,,,Noun,f,[sound:spanishdict-0264853d-d74dd14f-084e71fb-a13aafb3-0238a3db.mp3],17,Household
el plato,,plate,plate,plate,,,Noun,m,[sound:spanishdict-e13a9c5a-bbafcc69-3351283e-15ea533c-fc5e94bf.mp3],17,Household
la ventana,,window,window,window,,,Noun,f,[sound:spanishdict-439cf790-2131f83a-6c571b07-98470906-6c33fe98.mp3],17,Household
el dormitorio,h…,bedroom,bedroom,bedroom,,,Noun,m,[sound:spanishdict-dca7ecce-6b0f6d4a-97a649ad-af6f2a49-b78f8733.mp3],17,Household
la cuchara,,spoon,spoon,spoon,,,Noun,f,[sound:spanishdict-46bf6142-f7c7ccfd-380744ad-342447f0-f3e34fdb.mp3],17,Household
el sótano,,basement,basement,basement,,,Noun,m,[sound:spanishdict-3a17870a-58bf8487-38fb5ded-a49a909c-1ae8a4ac.mp3],17,Household
la cuna,,cradle; crib,cradle; crib,cradle; crib,,,Noun,f,[sound:spanishdict-ed85f3c1-8e9debdf-32382f19-d2df113d-84b38dce.mp3],17,Household
el sartén,,frying pan,frying pan,frying pan,,,Noun,m,[sound:spanishdict-4e550f24-8ed24523-95da03c0-2ce964a1-bdbd7ccd.mp3],17,Household
la televisión,el televisor,television,television,television,,,Noun,f,[sound:spanishdict-d2311a7d-268f4b51-0b995734-8a9263ab-3f2d12f2.mp3],17,Household
el sofá,,sofa,sofa,sofa,,,Noun,m,[sound:spanishdict-e615ac23-eafbdc3c-dea57910-584287dd-2ad806a4.mp3],17,Household
la taza,la copa,cup,cup,cup,,,Noun,f,[sound:spanishdict-c32942f5-80a387b5-d9d3cb09-90ab4c87-3a9c871c.mp3],17,Household
la cama,,bed,bed,bed,,,Noun,f,[sound:spanishdict-a9f79144-d65017d3-6f32817c-c960e8ad-ed3f5220.mp3],17,Household
el teléfono,,telephone,telephone,telephone,,,Noun,m,[sound:spanishdict-2d76c720-9f89f13c-387e7216-8d31e725-adfd5033.mp3],17,Household
el jabón,,soap,soap,soap,,,Noun,m,[sound:spanishdict-702d118c-f84a8ba5-80c7acb7-87c10b9f-5fc2fb54.mp3],17,Household
la pared,el muro,wall,wall,wall,,,Noun,f,[sound:spanishdict-3e0812fe-dbb3eea0-4100abaa-3d049a85-a80079f7.mp3],17,Household
la habitación,el cuarto,"room, bedroom","room, bedroom","room, bedroom",,,Noun,f,[sound:spanishdict-e25b9db4-3bac1a6a-dccb04c8-deb3dc1c-d6407e67.mp3],17,Household
la esponja,,sponge,sponge,sponge,,,Noun,f,[sound:spanishdict-eea6c8e6-3918974c-7d489cd3-64fa9975-9a02db46.mp3],17,Household
el horno,,oven,oven,oven,,,Noun,m,[sound:spanishdict-9cad7d1e-94e9f3ba-ae0ed377-9f5a5432-aaac06bb.mp3],17,Household
el piso,,floor,floor,floor,,,Noun,m,[sound:spanishdict-10879b3b-14e831f0-e9283ef7-dd2d7430-cf8d1a0d.mp3],17,Household
el espejo,,mirror,mirror,mirror,,,Noun,m,[sound:spanishdict-19da6060-abc43f9c-ee40d88e-6766b088-416c58c8.mp3],17,Household
el baño,,bathroom,bathroom,bathroom,,,Noun,m,[sound:spanishdict-0097eae3-a2438b82-fa6d702e-7d29e5e9-c3f1c967.mp3],17,Household
el escritorio,,desk,desk,desk,,,Noun,m,[sound:spanishdict-3040f934-0bbbbba8-709aea6c-1c877361-37037463.mp3],17,Household
la cartera,,wallet; purse,wallet; purse,wallet; purse,,,Noun,f,[sound:spanishdict-54db0c90-862f027f-0943581a-cbbb2fa3-5b58c6c7.mp3],17,Household
la sábana,,bed sheet,bed sheet,bed sheet,,,Noun,f,[sound:spanishdict-bc6518cd-0e684a49-fc09e35b-669943de-54ddfc5b.mp3],17,Household
la cocina,,kitchen,kitchen,kitchen,,,Noun,f,[sound:spanishdict-bf059f94-f01dc662-c00b4d91-f8a3df8e-efdaa730.mp3],17,Household
el cepillo,,brush,brush,brush,,,Noun,m,[sound:spanishdict-35e6b487-b8ce11d4-897ce10d-ce8d102b-f7907607.mp3],17,Household
la silla,,chair,chair,chair,,,Noun,f,[sound:spanishdict-7e2f10e4-15e2c275-b58cc700-21c3274b-4c93ab3b.mp3],17,Household
la secadora,,dryer,dryer,dryer,,,Noun,f,[sound:spanishdict-03d43c99-1360bfad-39425258-92bf6cf7-65201628.mp3],17,Household
el cuchillo,,knife,knife,knife,,,Noun,m,[sound:spanishdict-a54e4b27-860705fe-68d38c26-3e3219a0-fadccb2d.mp3],17,Household
el techo,,ceiling; roof,ceiling; roof,ceiling; roof,,,Noun,m,[sound:spanishdict-c0a911f3-3d2d91f6-9f4f246f-ccccc835-cb14be87.mp3],17,Household
"el empleado, la empleada",,employee,employee,employee,,,Noun,m/f,[sound:spanishdict-98c7d419-5f84b0fb-4e92c911-3fe471fc-8a3476db.mp3],18,Occupations
"el poeta, la poeta",,poet,poet,poet,,,Noun,m/f,[sound:spanishdict-b32861b5-3102f126-760429e9-b42f3219-24f19939.mp3],18,Occupations
"el especialista, la especialista",,specialist,specialist,specialist,,,Noun,m,[sound:spanishdict-38a0210d-3c9d9698-131d7d81-2dd00add-3d6db37b.mp3],18,Occupations
"el ingeniero, la ingeniera",,engineer,engineer,engineer,,,Noun,m/f,[sound:spanishdict-6578d87c-04bbea71-ff0ac82e-66171501-89398af2.mp3],18,Occupations
"el pintor, la pintora",,painter,painter,painter,,,Noun,m/f,[sound:spanishdict-e669f25f-9477650d-67372c5e-24e90453-1acb4d0d.mp3],18,Occupations
"el estudiante, la estudiante",,student,student,student,,,Noun,m/f,[sound:spanishdict-0a084b73-0d115474-4a33894c-cc9456f2-4bb6326f.mp3],18,Occupations
"el cocinero, la cocinera",,cook (occupation),cook (occupation),cook,,occupation,Noun,m/f,[sound:spanishdict-e0ae0d02-42b7baac-e271726f-5a9b44eb-68e9203e.mp3],18,Occupations
"el policía, la policía",,"police, police officer","police, police officer","police, police officer",,,Noun,m/f,[sound:spanishdict-8008349d-a51b7f3e-44ea61d3-5734fe15-3a4ba992.mp3],18,Occupations
"el secretario, la secretaria",,secretary,secretary,secretary,,,Noun,m/f,[sound:spanishdict-e17f3f70-e3552677-b322770c-2e7be049-ffbaafc9.mp3],18,Occupations
el comandante,,commander,commander,commander,,,Noun,m,[sound:spanishdict-74a8282d-63c7974f-17dde60f-9e8d8eb2-604d101e.mp3],18,Occupations
"el abogado, la abogada",,lawyer,lawyer,lawyer,,,Noun,m/f,[sound:spanishdict-e638d314-dbb58afa-2f047b07-b815d74c-d74590a2.mp3],18,Occupations
"el juez, la jueza",,judge,judge,judge,,,Noun,m/f,[sound:spanishdict-9399bf80-4fe323d5-72c718ab-27e15010-ed87ce75.mp3],18,Occupations
la profesión,,job; profession,job; profession,job; profession,,,Noun,f,[sound:spanishdict-39fd99df-24fd2a8d-6986aacf-73c54c02-62cab07e.mp3],18,Occupations
"el conductor, la conductora",,driver; conductor,driver; conductor,driver; conductor,,,Noun,m/f,[sound:spanishdict-5c3906ce-99c38d28-58942cab-5853c242-f5388195.mp3],18,Occupations
"el atleta, la atleta",,athlete,athlete,athlete,,,Noun,m/f,[sound:spanishdict-3635c713-2b6b5dfc-d5fe58f5-82263543-7c626e05.mp3],18,Occupations
el sacerdote,,priest,priest,priest,,,Noun,m,[sound:spanishdict-50226c0a-1c8bb494-60d8840f-e46945a2-98ba9bf4.mp3],18,Occupations
"el periodista, la periodista",,journalist,journalist,journalist,,,Noun,m/f,[sound:spanishdict-c2a4208d-99cdf4a8-5bb3687c-dfcae4ae-a754bbde.mp3],18,Occupations
"el artista, la artista",,artist,artist,artist,,,Noun,m/f,[sound:spanishdict-668eaf89-97d2c794-54ada532-2d4107bd-ca6c6f8b.mp3],18,Occupations
"el doctor, la doctora",el médico,doctor,doctor,doctor,,,Noun,m/f,[sound:spanishdict-b1502dd7-868bd8f8-b47630cd-e68099bc-5bb16624.mp3],18,Occupations
"el enfermero, la enfermera",,nurse,nurse,nurse,,,Noun,m/f,[sound:spanishdict-f07acfc2-8b1ae496-51f5e094-b6e5dee1-5ac288dd.mp3],18,Occupations
la actriz,,actress,actress,actress,,,Noun,f,[sound:spanishdict-0ed62c6f-c3556e64-c06dd126-1d1297b2-23458ce6.mp3],18,Occupations
"el mesero, la mesera",c…,waiter,waiter,waiter,,,Noun,m/f,[sound:spanishdict-cc1d98f6-d858804e-be1c9691-2fc6c0f0-837a607f.mp3],18,Occupations
"el agente, la agente",,agent,agent,agent,,,Noun,m/f,[sound:spanishdict-4272e678-fed0a131-0ed74c14-844e1aee-e3117126.mp3],18,Occupations
la especialidad,,speciality,speciality,speciality,,,Noun,f,[sound:spanishdict-0ea173a4-5af8cc58-73566593-3f4a08e5-292c9a98.mp3],18,Occupations
"el jefe, la jefa",,boss,boss,boss,,,Noun,m/f,[sound:spanishdict-39ae5799-d54513e9-2146ca52-13da5556-a4733303.mp3],18,Occupations
"el dueño, la dueña",,owner,owner,owner,,,Noun,m/f,[sound:spanishdict-5afe487e-c17c48e8-fb21ebf1-c7c19970-ca251202.mp3],18,Occupations
"el actor, la actora",,actor,actor,actor,,,Noun,m/f,[sound:spanishdict-eab944f2-81607f21-c665f6ca-68d9de01-6fb3272a.mp3],18,Occupations
el príncipe,,prince,prince,prince,,,Noun,m,[sound:spanishdict-1ab2f398-6206cee6-736cc6f2-c7f8d5e1-09ee93bd.mp3],18,Occupations
"el autor, la autora",,author,author,author,,,Noun,m/f,[sound:spanishdict-622aba0a-39da726c-192c2418-16d70b09-1f756975.mp3],18,Occupations
el soldado,,soldier,soldier,soldier,,,Noun,m,[sound:spanishdict-a0fe5cb3-b20a5272-55fc72c4-49131322-d1cbd3f9.mp3],18,Occupations
el rey,,king,king,king,,,Noun,m,[sound:spanishdict-7df2d635-4c08f106-9bb105fd-01398c71-6a03ffa6.mp3],18,Occupations
"el cajero, la cajera",,cashier,cashier,cashier,,,Noun,m/f,[sound:spanishdict-8f90f7aa-c166077f-cb816ed2-87916079-7c99670f.mp3],18,Occupations
el trabajo,la obra,"work, job, effort","work, job, effort","work, job, effort",,,Noun,m,[sound:spanishdict-7fe081ff-f315c57a-5d3931a1-757a0985-1093816b.mp3],18,Occupations
el coronel,,colonel,colonel,colonel,,,Noun,m,[sound:spanishdict-70a1337f-697fef8c-5e7f40a7-052ddc09-4934c7bd.mp3],18,Occupations
la sacerdotisa,,priestess,priestess,priestess,,,Noun,f,[sound:spanishdict-2f24ac4f-d4dbde8c-0c3b0b36-7a4f0a41-3fd6681e.mp3],18,Occupations
"el empresario, la empresaria",,businessman; entrepreneur,businessman; entrepreneur,businessman; entrepreneur,,,Noun,m/f,[sound:spanishdict-9339a672-f9d1baf3-efa81293-666b2b70-61ecfe5a.mp3],18,Occupations
"el profesor, la profesora",,professor,professor,professor,,,Noun,m/f,[sound:spanishdict-cbb571d2-e6d5cfbf-d5630b64-67804624-6eb3dcc6.mp3],18,Occupations
la guardia,,guard,guard,guard,,,Noun,f,[sound:spanishdict-710c86ec-15fa0c17-63059e24-861fb261-e8bd11b4.mp3],18,Occupations
"el granjero, la granjera",,farmer,farmer,farmer,,,Noun,m/f,[sound:spanishdict-3142d613-261f596d-a4ce8c8c-62dd6493-6997fd3c.mp3],18,Occupations
"el maestro, la maestra",,teacher,teacher,teacher,,,Noun,m,[sound:spanishdict-a46b7e01-bb6f5bd2-d3559975-6bf93274-8768d1bf.mp3],18,Occupations
"el capitán, la capitana",,captain,captain,captain,,,Noun,m,[sound:spanishdict-bbc414f5-641efc9c-f0f60b85-f315202d-9b92050d.mp3],18,Occupations
"el carpintero, la carpintera",,carpenter,carpenter,carpenter,,,Noun,m/f,[sound:spanishdict-b8a77d83-f8d78389-1b0569f7-eb599626-3042fea8.mp3],18,Occupations
"el panadero, la panadera",,baker,baker,baker,,,Noun,m/f,[sound:spanishdict-bb9320f6-df39fc6f-1baa38fd-c8bc28bb-db4b7dee.mp3],18,Occupations
la cita,,appointment,appointment,appointment,,,Noun,f,[sound:spanishdict-36d61adb-d111c0a1-1e3ea94c-2fb25e73-b2ec4dc0.mp3],19,Time
la noche,,night,night,night,,,Noun,f,[sound:spanishdict-a3d3c161-78b84c10-0b2aae4c-412ba68c-1817dda5.mp3],19,Time
el viernes,,Friday,Friday,Friday,,,Noun,m,[sound:spanishdict-57fd7c6f-1fd78440-da4e1afa-0eaee023-f452020d.mp3],19,Time
el sábado,,Saturday,Saturday,Saturday,,,Noun,m,[sound:spanishdict-ae31c1a6-11368ad1-061e9d83-fb8768b9-8ed2d4c1.mp3],19,Time
ayer,,yesterday,yesterday,yesterday,,,Adverb,,[sound:spanishdict-c9614a5b-a9fa96be-c7bbc194-47109ae0-07a86ae9.mp3],19,Time
el enero,,January,January,January,,,Noun,m,[sound:spanishdict-52230402-21f723a9-9259503c-fc973025-9d12f316.mp3],19,Time
el segundo,,second (time),second (time),second,,time,Noun,m,[sound:spanishdict-f246afdd-6322b83b-2b329927-f1c6cf31-9244f1db.mp3],19,Time
el junio,,June,June,June,,,Noun,m,[sound:spanishdict-79f796b5-1e81196d-691d7faf-19061f27-4ddb62b6.mp3],19,Time
el domingo,,Sunday,Sunday,Sunday,,,Noun,m,[sound:spanishdict-c2e26257-98cae2ad-2a6d2811-d1dbabeb-7f9e6f08.mp3],19,Time
la semana,,week,week,week,,,Noun,f,[sound:spanishdict-1546e654-8cb0f14b-0e72e5db-0e323e10-eeef91e2.mp3],19,Time
hasta,,until,until,until,,,Preposition,,[sound:spanishdict-0cab90fd-a96ad084-b39aa2b7-f7f5fffb-a1d9613f.mp3],19,Time
desde,,"since, from","since, from","since, from",,,Preposition,,[sound:spanishdict-7303daeb-cdb1ffe8-f8be70c4-1547d03a-d860963f.mp3],19,Time
el día,,day,day,day,,,Noun,m,[sound:spanishdict-42641208-1bac5c9d-5eee1e50-581d790f-68319d7a.mp3],19,Time
la fecha,,date (calendar),date (calendar),date,,calendar,Noun,f,[sound:spanishdict-e7949591-75caf133-43e0a8a7-2a1452b7-5b8a067a.mp3],19,Time
el martes,,Tuesday,Tuesday,Tuesday,,,Noun,m,[sound:spanishdict-01bb8f49-18e837a1-40465773-114b5d6b-16f1fdda.mp3],19,Time
el julio,,July,July,July,,,Noun,m,[sound:spanishdict-805d3d55-595502b5-52a1d694-ea1b62bf-3b63f8c9.mp3],19,Time
la fiesta,,party,party,party,,,Noun,f,[sound:spanishdict-9762d921-4a80f19e-2ecfad71-cf90bec8-b6929ef0.mp3],19,Time
el mediodía,,noon,noon,noon,,,Noun,m,[sound:spanishdict-bd778c3d-4e41d3c3-bd53075d-16d23c9c-88e2dfca.mp3],19,Time
el calendario,,calendar,calendar,calendar,,,Noun,m,[sound:spanishdict-0aa28a41-e04a105b-a0df3b94-5977f4cb-ed0f4547.mp3],19,Time
el marzo,,March,March,March,,,Noun,m,[sound:spanishdict-77bbff30-6fd35b77-ee3f6a2d-7263c30d-b2015246.mp3],19,Time
el mayo,,May,May,May,,,Noun,m,[sound:spanishdict-756550fd-8009a915-b1f4d250-29d95300-b1a3d6ce.mp3],19,Time
la temporada,e…,season,season,season,,,Noun,f,[sound:spanishdict-0d449ea6-c524b14f-4c5e120a-6a5bd023-e226716d.mp3],19,Time
el diciembre,,December,December,December,,,Noun,m,[sound:spanishdict-0b808192-560b00ca-874a9bcb-53fd716a-b1d2911a.mp3],19,Time
el cumpleaños,,birthday,birthday,birthday,,,Noun,m,[sound:spanishdict-52bf0a8c-6e8f610b-d99ea325-1db74b65-e60fbefd.mp3],19,Time
la hora,el tiempo,time; hour,time; hour,time; hour,,,Noun,f,[sound:spanishdict-e06323a3-f1175233-5c7a0748-0d2216ba-857de729.mp3],19,Time
el septiembre,,September,September,September,,,Noun,m,[sound:spanishdict-31d2500c-35b500eb-3380f10a-7e8a9fd7-ebe3e79f.mp3],19,Time
hoy,,today,today,today,,,Adverb,,[sound:spanishdict-0f9a97e8-887f100e-52aa9798-3a39b530-88ae510d.mp3],19,Time
el noviembre,,November,November,November,,,Noun,m,[sound:spanishdict-61f89ac1-65c605c0-983f5fca-ec5dc832-5b028edf.mp3],19,Time
el momento,,"moment, time","moment, time","moment, time",,,Noun,m,[sound:spanishdict-e7abed40-cd65ffe9-fa9374ec-e2ea34bf-e457e332.mp3],19,Time
un rato,,a while (time),a while (time),a while,,time,Noun,m,[sound:spanishdict-8642d9a5-33e6c951-961be646-1b4c86f9-f2845df1.mp3],19,Time
el agosto,,August,August,August,,,Noun,m,[sound:spanishdict-0bc490c7-4059dba8-d052d131-b5636d24-755ee063.mp3],19,Time
el abril,,April,April,April,,,Noun,m,[sound:spanishdict-a36233f4-4bfc4f49-ed27e5e3-ed333d8d-c9b06652.mp3],19,Time
la madrugada,,"early morning, dawn","early morning, dawn","early morning, dawn",,,Noun,f,[sound:spanishdict-538757c4-d1ec2363-60daec30-1e0ed47f-96b50284.mp3],19,Time
la primavera,,springtime,springtime,springtime,,,Noun,f,[sound:spanishdict-4a0cec3a-20f98bc5-87ac715e-86bce71f-f29b59a4.mp3],19,Time
el miércoles,,Wednesday,Wednesday,Wednesday,,,Noun,m,[sound:spanishdict-80f51ab7-a5621963-c818084a-968178f3-a0141a49.mp3],19,Time
el verano,,summer,summer,summer,,,Noun,m,[sound:spanishdict-5b336d5c-72de7bfd-5e9073b2-1a568156-40fa314a.mp3],19,Time
el jueves,,Thursday,Thursday,Thursday,,,Noun,m,[sound:spanishdict-a4d5c94f-15d2db96-d9b9e7df-7da3125b-004e2d0a.mp3],19,Time
el lunes,,Monday,Monday,Monday,,,Noun,m,[sound:spanishdict-c4b65d8c-7bc30a11-dfbcb0d8-4bd536fd-efedbc68.mp3],19,Time
el febrero,,February,February,February,,,Noun,m,[sound:spanishdict-99c8e072-7930f929-b97a1582-c5ec064b-c89ad01b.mp3],19,Time
la estación,,station; season,station; season,station; season,,,Noun,f,[sound:spanishdict-4c7fef47-43e11328-b9044d85-1ba91460-93796d58.mp3],19,Time
el octubre,,October,October,October,,,Noun,m,[sound:spanishdict-98e7038c-96d1b29b-cc1ed3a3-56faab56-159f66b0.mp3],19,Time
el minuto,,minute,minute,minute,,,Noun,m,[sound:spanishdict-43f1df5c-199be04d-152ccca0-fdf29243-0d3154d4.mp3],19,Time
el mes,,month,month,month,,,Noun,m,[sound:spanishdict-2e5357a9-7203bba9-1a368dbc-fd133651-abe725a4.mp3],19,Time
anoche,,last night,last night,last night,,,Adverb,,[sound:spanishdict-ca1eae47-c9bb666b-fdaf8b5f-3b156e17-e99c5876.mp3],19,Time
el invierno,,winter,winter,winter,,,Noun,m,[sound:spanishdict-8c358e3a-43c46890-18edfe31-83b0df3b-e46fbbb7.mp3],19,Time
la mañana,,"tomorrow, morning","tomorrow, morning","tomorrow, morning",,,Noun,f,[sound:spanishdict-93fd35db-c72be159-acb7ec0c-5e47c02c-49d9ab6d.mp3],19,Time
las vacaciones,,"vacation, holiday","vacation, holiday","vacation, holiday",,,Noun,f,[sound:spanishdict-d67e133e-216a8add-51989b28-bcc3255f-f265f853.mp3],19,Time
una vez,,once,once,once,,,Adverb,,[sound:spanishdict-d3ad6760-b083d853-11021000-65014b8d-37522b73.mp3],19,Time
dos veces,,twice,twice,twice,,,Nounum,,[sound:spanishdict-6caf422f-af2b3c51-5706ddfd-d6cffe7b-3162e17a.mp3],19,Time
tarde,,late,late,late,,,Adverb,,[sound:spanishdict-6d56d9c7-73c22904-fbf188f8-3e0484da-7eb6b978.mp3],19,Time
